institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
Vancouver Island University,2015-09-08,Bachelor of Arts in Sociology,4,25000, Attending ,,
Langara College,1770-07-07,Diploma Arts and Science Health Science,,, Hiatus ,,
Camosun College,2020-01-06,Arts & Science,2,9164,,,
Vancouver Island University,2014-09-04,Bachelor of Social Work,4,38000, Hiatus ,,
BCIT,2021-11-18,Construction Operations,1,, Hiatus , Cost varies ,
Douglas College,1770-07-07,Bachelor of Arts-Psychology,4,24000, Hiatus ,,
Langara College,1770-07-07,Associate of Arts,,, Hiatus ,,
Camosun College,2020-05-01,Health Care Assistant,1,3274,,,
Vancouver Island University,1770-07-07,Bachelor of Natural Resource Protection,,, Completed  ,,
Camosun College,2017-09-05,CFCS,2,, Attending ,,
Vancouver Island University,1770-07-07,Automotive Service Technician,,, Completed  ,,
Vancouver Island University,2017-09-05,Adventure Tourism/Practical Nursing Diploma,2,15000, Hiatus , Plans to pursue Bachelor of Science in Nursing F22. ,
Langara College,2018-01-02,Bachelor of Business Administration in Accounting,4,24885, Attending ,,
Camosun College,2019-09-03,Mental Health and Addictions,1,, Completed  ,,
Camosun College,2017-09-05,Office Administration,1,, Completed  ,,
Camosun College,2019-08-19,Sheet Metal Foundations,1,, Hiatus , Last attended 03/20 ,
BCIT,2022-08-02,Electrical Red Seal Refresher,1,1026, Attending ,,
Camosun College,2018-09-10,University Transfer,,,,,
Thompson Rivers University,2021-03-01,Bachelor of Arts,3,14100, Hiatus ,,
Vancouver Island University,2015-09-08,Bachelor of Arts in Philosophy,4,25000, Hiatus , Last attended F20 ,
Vancouver Island University,2017-09-05,Bachelor of Social Work,4,38000, Completed  ,,
Camosun College,2021-01-01,University Transfer,2,12000,,,
Camosun College,2017-05-01,Associate Degree Arts,2,, Hiatus , Last attended 04/19 ,
Vancouver Island University,1770-07-07,Health Care Assistant,,, Completed  ,,
Vancouver Island University,2018-01-08,Bachelor of Social Work,4,38000, Attending , Social Service Diploma complete ,
Douglas College,1770-07-07,Associate of Arts,2,, Hiatus ,,
Douglas College,1770-07-07,Business Management Diploma,,, Completed  ,,
Thompson Rivers University,1770-07-07,Human Services,,,,,
Camosun College,2019-01-10,,,,,,
College of New Caledonia,1770-07-07,Early Childhood Care & Learning,,, Hiatus ,,
Camosun College,2018-01-08,College Prep,,, Attending ,,
Thompson Rivers University,1770-07-07,Vet Tech,,, Never Attended ,,
Vancouver Island University,2021-09-07,Resource Management Officer Technology,2,14000, Never Attended ,,
Nicola Valley Institute of Technology,1770-07-07,Associate of Arts,,, Completed  ,,
Douglas College,2018-09-08,Bachelor of Arts Child and Youth Care,2,12000, Completed  ,,
College of New Caledonia,1770-07-07,Natural Resources and Forest Technology,,, Completed  ,,
Simon Fraser University,2017-09-01,Bachelor of Scence in Computing Science,4,26160, Hiatus , Discontined Studies ,
Camosun College,2019-09-03,,,,,,
Camosun College,1770-07-07,Nursing,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Science in Nursing,,, Completed  ,,
BCIT,1770-07-07,Graphic Design,,, Completed  , Completed Technical Web Designer ,
Vancouver Island University,2015-09-08,Bachelor of Arts in Child and Youth Care,4,25000, Completed  ,,
Camosun College,2016-09-06,Bachelor of Business Administration,4,, Hiatus , Last attended 10/18 ,
BCIT,2021-09-01,General Studies-Nursing,1,1900,,,
University of British Columbia,2015-09-08,Unclassified Studies,,, Hiatus , Credential received: Bachelor of Science: Biology ,
Camosun College,2018-09-10,,,,,,
University of the Fraser Valley,1770-07-07,Bachelor of Business Administration,4,23765, Attending ,,
College of New Caledonia,1770-07-07,University Studies,,, Hiatus ,,
Douglas College,1770-07-07,Certificate of Scoial Service Work,,, Hiatus ,,
Vancouver Community College,1770-07-07,Administrative Assistant,,,,,
Camosun College,2020-09-08,Practical Nursing,2,21500,,,
Douglas College,1770-07-07,General Studies,,, Hiatus ,,
University of the Fraser Valley,2017-09-01,Bachelor of Integrated Studies,4,23765, Hiatus ,,
Camosun College,2021-09-01,Indigenous College Prep,1,1450,,,
Langara College,1770-07-07,Diploma Arts and Science General,,, Hiatus ,,
Douglas College,2019-09-08,General Studeis Diploma,2,12000, Hiatus ,,
Simon Fraser University,2020-09-09,Bachelor of Business Admnistration ,4,20218, Attending ,,
Camosun College,2020-09-01,Athletics and Exercise Therapy,4,62500,,,
Langara College,1770-07-07,Associate of Arts Creative Writing,,, Hiatus ,,
Simon Fraser University,2020-09-09,Bachelor of General Studies Education,2,13552, Attending ,,
Vancouver Island University,1770-07-07,Exploratory Studies,,,,,
Vancouver Island University,2015-09-08,Bachelor of Education,5,27000, Attending ,,
Langara College,1770-07-07,Associate of Arts,,, Hiatus ,,
BCIT,1770-07-07,Interior Design Certificate,,, Never Attended ,,
Camosun College,1770-07-07,,,,,,
Camosun College,2021-09-07,Nursing,3,9500,,,
Kwantlen Polytechnic University,2017-09-01,Design,4,35760, Hiatus ,,
Okanagan College,1770-07-07,Marketing Cannabis in Canada Course,1,157,,,
Nicola Valley Institute of Technology,1770-07-07,Aboriginal Early Childhood Education,,, Never Attended ,,
Douglas College,1770-07-07,Cashier Training,,, Completed  ,,
Selkirk College,1770-07-07,Welding,,,,,
Kwantlen Polytechnic University,1770-07-07,Arts,,, Hiatus ,,
BCIT,2021-04-06,Critical Nursing Theory,1,1143.86, Hiatus ,,
Camosun College,2019-09-03,,,,,,
University of the Fraser Valley,2017-09-01,Bachelor of Science in Nursing,4,24122.52, Attending ,,
BCIT,1770-07-07,Science and Horticulture,,, Never Attended ,,
Kwantlen Polytechnic University,2017-09-01,Graphic Design,4,25760, Attending ,,
Douglas College,1770-07-07,Diploma Youth Justice,,, Hiatus ,,
Camosun College,2018-01-08,College Prep,1,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Social Services,2,14272, Completed  ,,
Camosun College,2021-09-07,Criminology Diploma,2,9300,,,
Vancouver Island University,2022-09-06,Bachelor of Social Work,2,19000,, NVIT Transfer ,
University of the Fraser Valley,2017-09-01,B. of Arts Global Development,4,23765, Attending ,,
Nicola Valley Institute of Technology,1770-07-07,Associate of Arts,,, Hiatus ,,
Langara College,1770-07-07,Citation: Early Childhood Education,,, Completed  ,,
Douglas College,2019-01-01,Criminology Diploma,2,12000, Attending ,,
Camosun College,2018-09-04,Academic General Studies,,, Hiatus , Last attended 12/18 ,
Vancouver Community College,1770-07-07,University Transfer,,, Completed  ,,
Vancouver Island University,2017-09-05,Bachelor of Arts,4,25000, Attending ,,
Camosun College,2020-01-10,,,,,,
Nicola Valley Institute of Technology,1770-07-07,Health Care Assistant,,, Hiatus ,,
Vancouver Island University,2020-09-08,Exploratory Studies,4,25000, Attending ,,
North Island College,1770-07-07,University Studies,,, Attending ,,
Camosun College,2019-01-02,,,,,,
Douglas College,2018-09-08,Bachelor in Applied Criminology,4,24000, Completed  , appears to be graduating but continuing with other courses ,
Douglas College,1770-07-07,General Studies,,, Hiatus ,,
BCIT,1770-07-07,Graphic Design Certificate,,, Never Attended ,,
Douglas College,2019-05-01,Bachelor in Business Administration Management,4,36000, Attending ,,
Kwantlen Polytechnic University,1770-07-07,Business,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Arts,4,26668, Attending ,,
Camosun College,2019-09-03,,,,,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
Douglas College,2015-09-08,BA Child and Youth Care,4,24000, Hiatus ,,
University of the Fraser Valley,1770-07-07,Information Systems,,,,,
Capilano University,1770-07-07,Arts and Science,,,,,
Vancouver Community College,1770-07-07,Dental Receptionist Coordinator,,,,,
BCIT,1770-07-07,Geomatics Engineering Tech Diploma,,, Completed  ,,
Camosun College,1770-07-07,,,,,,
Langara College,1770-07-07,Associate of Arts,,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
Camosun College,1770-07-07,Music Performance,,, Hiatus ,,
University of Victoria,1770-07-07,Bachlor of Music,,, Attending ,,
Langara College,1770-07-07,Diploma Arts and Science General,,, Hiatus ,,
Langara College,1770-07-07,Fine Arts Diploma,,, Completed  , Transfer ,
Douglas College,2018-01-01,Associate of Arts,2,12000, Hiatus ,,
Vancouver Island University,2014-01-06,Exploratory Studies,4,25000, Hiatus , Withdrew F20; Est. cost assumes move to degree program ,
Douglas College,2017-09-08,Commerce & Business ,2,12000, Hiatus ,,
Camosun College,2020-05-01,Associate of Arts Degree,2,12500,,,
Douglas College,1770-07-07,Business Management Diploma,,, Hiatus ,,
Simon Fraser University,2021-01-05,Bachelor of Arts,4,26704, Attending ,,
Thompson Rivers University,2020-06-03,Undeclared,4,24100, Hiatus ,,
Nicola Valley Institute of Technology,1770-07-07,Office Administrator,,, Completed  ,,
Douglas College,2017-09-08,Associate of Arts,2,12000, Hiatus ,,
Camosun College,2019-09-03,,,,,,
Simon Fraser University,2020-09-09,Bachelor of Arts,2,13352, Attending ,,
BCIT,1770-07-07,Arts,,, Never Attended ,,
Kwantlen Polytechnic University,2017-09-01,Arts,4,23500, Completed  ,,
University of the Fraser Valley,2017-09-01,Paralegal Certificate,2,7525, Completed  ,,
University of the Fraser Valley,1770-07-07,Adult Basic Education,,,,,
Douglas College,1770-07-07,General Studies,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Science,,, Attending ,,
Langara College,1770-07-07,Associate of Arts,2,9335, Hiatus ,,
University of British Columbia,2021-05-10,Real Estate License,1,1300, Completed  ,,
Capilano University,2020-09-09,Bachelor of Deisgn in Visual Communications,4,50130,,,
University of the Fraser Valley,2017-09-01,Bachelor of Science,4,23765, Hiatus ,,
Emily Carr University of Art & Design,2001-09-18,Bachelor of Fine Arts-Visual Arts,4,, Completed  ,,
Langara College,1770-07-07,Fine Arts Diploma,2,7100, Completed  ,,
College of New Caledonia,2020-09-08,Criminology,,, Completed  ,,
Langara College,1770-07-07,Associate of Arts,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Science,,, Completed  ,,
Vancouver Community College,1770-07-07,Fashion Arts,,,,,
Camosun College,2016-09-06,Associate Degree Arts,2,, Hiatus ,,
Vancouver Community College,1770-07-07,Automotive Foundation Program,,,,,
Langara College,2018-01-02,Diploma Arts and Science General,2,9335, Hiatus ,,
Capilano University,2020-05-01,Adult Basic Education,2,1600,,,
Simon Fraser University,2022-01-10,Bachelor of Arts,4,20454,,,
BCIT,2019-09-02,Business Administration Degree,2,11775, Completed  ,,
