institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
University of Victoria,2021-09-01,Bachelor of Child & Youth Care,,, Attending ,,
BCIT,2021-09-07,Business Operations Management,2,14452,,,year
BCIT,2021-09-01,Communication Design Essentials Certificate,1,11584,,,year
Simon Fraser University,1770-07-07,Bachelor of Education,4,, Completed  ,,year
Kwantlen Polytechnic University,1770-07-07,Arts,,, Completed  ,,
Douglas College,2018-09-08,Bachelor of Social Work,4,24000, Attending ,,year
Thompson Rivers University,1770-07-07,Undeclared,,,,,
Simon Fraser University,2019-09-01,Bachelor of Science,4,25080, Hiatus ,,year
BCIT,1770-07-07,Accounting,,, Never Attended ,,
Douglas College,2020-05-05,Liberal Arts Diploma,2,12000, Attending ,,year
BCIT,2022-02-28,Joinery Cabinetmaker Foundation,1,4350,,,year
University of the Fraser Valley,2021-09-01,Qualifying Studies/Bachelor of Integrated Studies,2,8293, Attending , Completed credential and Fall '21 attending Qualifying Studies ,year
Douglas College,2018-09-01,Bachelor of Child & Youth Care,4,36000, Attending , Reported as completed ,year
BCIT,2016-06-09,CISA- Network Administration,2,17000, Hiatus , failed out of program ,year
BCIT,1770-07-07,Marketing Mgmt- professional sales ,,, Completed  ,,
BCIT,1770-07-07,Marketing Mgmt- Professional sales,,, Completed  ,,
Camosun College,2016-01-11,Associate Degree Arts,2,, Hiatus , Last attended 08/20 ,year
University of Victoria,1770-07-07,Nursing,,, Hiatus ,,
Douglas College,1770-07-07,General Studies,,, Hiatus ,,
BCIT,2021-09-01,Finance Diploma,2,12060,,,year
Nicola Valley Institute of Technology,1770-07-07,Bachelor of Social Work,4,, Completed  ,,year
BCIT,1770-07-07,Marketing Management- communications,,, Completed  ,,
BCIT,2021-01-08,Human Resource Management ,1,7300, Completed  ,,year
BCIT,1770-07-07,Arts,,,, Never attended ,
Kwantlen Polytechnic University,2017-01-09,Legal Admin Studies,1,8000, Attending ,,year
BCIT,1770-07-07,Bachelor of Arts,,, Never Attended ,,
College of New Caledonia,2020-09-08,Early Childhood Education and Learning,1,5020, Hiatus ,,year
Kwantlen Polytechnic University,2017-09-01,Bachelor of  Arts,4,23500, Hiatus ,,year
Camosun College,2016-09-06,"Community, Family & Child Studies",2,, Hiatus , Last attended 12/18 ,year
Camosun College,2020-09-08,University Transfer,2,12000, Attending ,,year
Vancouver Community College,1770-07-07,University Transfer,,,,,
Camosun College,2016-09-06,Bachelor of Science in Nursing,4,25000, Hiatus , Last attended 12/18 ,year
Camosun College,2017-09-05,Bachelor of Business Administration,4,25000, Attending ,,year
Simon Fraser University,1770-07-07,Bachelor of Arts,,,,,
Langara College,1770-07-07,Computer Studies Diploma,,, Hiatus ,,
BCIT,2021-04-01,Project Management Associate Certificate,1,6000,,,year
BCIT,2021-09-07,Graphic Design Associate Certificate,1,6791,,,year
Douglas College,2019-09-01,Bachelor of Arts Therapeutic Recreation,4,14160, Attending ,,year
Langara College,1770-07-07,Recreation Leadership Diploma,,, Completed  ,,
Langara College,1770-07-07,Associate of Arts,2,, Hiatus ,,year
Kwantlen Polytechnic University,2017-09-01,Bachelor of Interior Design,4,35760, Completed  ,,year
Langara College,1770-07-07,Associate of Arts,2,9335, Hiatus ,,year
BCIT,2017-09-05,Technology Support Professional,,, Completed  ,,
Camosun College,2017-09-05,Mental Health & Addictions,1,, Completed  ,,year
Kwantlen Polytechnic University,2017-09-01,Arts,4,23500, Completed  , credit mulit pass ,year
University of the Fraser Valley,2017-09-01,Bachelor of Fine Arts,4,23765, Hiatus ,,year
Nicola Valley Institute of Technology,2018-09-04,Bachelor of Social Work,2,7800, Completed  ,,year
Thompson Rivers University,2021-01-01,Inter-Provincial Substance Use,1,3800, Never Attended ,,year
Douglas College,1770-07-07,Arts in Psychology,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Arts,,, Attending ,,
Langara College,1770-07-07,Diploma Arts and Science General,,, Hiatus ,,
BCIT,1770-07-07,Arts,,, Never Attended ,,
Kwantlen Polytechnic University,2019-09-01,Arts,4,23500, Attending ,,year
Nicola Valley Institute of Technology,1770-07-07,Chemical Addiction Worker Certificate,,, Completed  ,,
Nicola Valley Institute of Technology,2022-09-02,Bachelor of Social Work,2,12523.32,, Last attended 11/17 ,year
University of the Fraser Valley,1770-07-07,Applied Business Technology,,,,,
University of the Fraser Valley,1770-07-07,Bachelor of Arts,4,21609, Hiatus ,,year
Simon Fraser University,2017-09-01,Bachelor of Arts,4,25080, Attending ,,year
University of British Columbia Okanagan,1770-07-07,Bachelor of Science,,, Completed  ,,
Kwantlen Polytechnic University,2017-09-01,Business,4,23500, Hiatus ,,year
Simon Fraser University,2018-09-04,Bachelor of Arts,4,26160, Completed  ,,year
BCIT,1770-07-07,Nursing,,, Never Attended ,,
Kwantlen Polytechnic University,2017-09-01,Nursing,,, Hiatus ,,
University of the Fraser Valley,2019-08-01,Professional Cook Training,1,, Completed  ,,year
Capilano University,1770-07-07,Associate of Arts,,, Hiatus ,,
Camosun College,2017-09-05,Bachelor of Business Administration,4,, Hiatus , Last attended 12/17 ,year
Justice Insitute of British Columbia,2020-11-01,"First Responder, EMR, Policing",1,1718, Hiatus ,,year
Simon Fraser University,1770-07-07,Bachelor of Science,,,,,
Capilano University,1770-07-07,Legal Studies,4,24728.82, Hiatus ,,year
Nicola Valley Institute of Technology,2017-09-09,Associate of Arts,2,5437, Hiatus ," Last attended date: Dec 22, 2020 ",year
Nicola Valley Institute of Technology,1770-07-07,Residential Construction,,, Hiatus ,,
Camosun College,2018-09-04,Associate Degree Arts,2,, Hiatus ,,year
Thompson Rivers University,1770-07-07,Education Assistant & Community Support,,,,,
College of New Caledonia,1770-07-07,Bookkeeping,,, Hiatus ,,
,1770-07-07,,,,,,
College of New Caledonia,1770-07-07,Professional Cook 2,,, Completed  ,,
College of New Caledonia,1770-07-07,BA Nursing,,, Attending ,,
BCIT,2021-03-01,Marketing Management Diploma,2,12060,,,year
BCIT,2021-04-01,Bridge Watch Rating & Nautical Courses,1,2378,,,year
Kwantlen Polytechnic University,2017-09-01,BA Nursing,4,45000, Hiatus ,,year
Langara College,1770-07-07,Foundations in Health Studies Citation,,, Hiatus ,,
Nicola Valley Institute of Technology,1770-07-07,Bachelor of Social Work,4,,,,year
Nicola Valley Institute of Technology,1770-07-07,Associate of Arts in First Nations Studies,,,,,
Thompson Rivers University,2018-09-01,Human Services,2,13572.96, Attending ,,year
Douglas College,2017-09-08,Youth Justice Worker,2,12000, Attending ,,year
University of British Columbia,1770-07-07,Bachelor of Social Work,,, Completed  ,,
Douglas College,2018-09-01,General Studies,2,12000, Hiatus ,,year
University of British Columbia,2018-09-05,Bachelor of Applied Science,4,27000, Completed  ,,year
BCIT,2020-09-08,New Media and Design Development Diploma,2,19509,,,year
Nicola Valley Institute of Technology,1770-07-07,Chemical Addiction Worker Certificate,,, Hiatus ,,
Simon Fraser University,1770-07-07,Bachelor of Arts,,,,,
Nicola Valley Institute of Technology,1770-07-07,Associate of Arts,,, Hiatus ,,
BCIT,2020-09-08,Broadcast & Online Journalism,2,13462, Hiatus ,,year
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
University of British Columbia,1770-07-07,Bachelor of Applied Science,,, Completed  ,,
Nicola Valley Institute of Technology,1770-07-07,Bachelor of Social Work,4,, Completed  ,,year
BCIT,1770-07-07,Fine Arts,,, Never Attended ,,
Kwantlen Polytechnic University,2017-09-01,Fine Arts,4,23500, Completed  ,,year
Douglas College,1770-07-07,Associate of Science and Cont Ed. Sport Institute ,,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
University of British Columbia Okanagan,1770-07-07,Bachelor of Human Kinetics,,,,,
University of the Fraser Valley,1770-07-07,Bachelor of Criminology,,,,,
Camosun College,2018-09-04,University Transfer,2,, Hiatus , Program change Feb 2019 report; last attended 08/20 ,year
University of the Fraser Valley,1770-07-07,Bachelor of Arts,,,,,
BCIT,2021-10-04,Welder Foundation,1,5086,,,year
Camosun College,2017-09-05,Criminal Justice,2,, Attending ,,year
Thompson Rivers University,2017-09-06,Bachelor of Arts in Criminology,4,24100, Hiatus ,,year
University of British Columbia Okanagan,2016-09-06,Bachelor of Arts,4,27000, Attending ,,year
Thompson Rivers University,1770-07-07,Bachelor of Science in Nursing,,,,,
Langara College,1770-07-07,Associate of Arts,,, Hiatus ,,
Camosun College,2017-09-05,Bachelor of Science in Nursing,4,, Hiatus , Last attended 12/19 ,
BCIT,2022-04-01,Bachelor of Science in Nursing,3,23033,,,
Nicola Valley Institute of Technology,2016-09-06,Associate of Arts,2,5600, Hiatus ," Last attended date: Dec 22, 2020 ",
Camosun College,1770-07-07,Community Support Education Assistant,,,,,
Vancouver Island University,1770-07-07,Bachelor of Arts in Child and Youth Care,,, Completed  ,,
University of British Columbia Okanagan,1770-07-07,Bachelor of Ars,,, Completed  ,,
Nicola Valley Institute of Technology,1770-07-07,Bachelor of Social Work,,, Completed  ,,
University of British Columbia,2017-09-05,Certificate in Teaching English as a Second Language,4,30000, Attending , Credential: Bachelor of Science in Applied Biology: Applied Animal Biology ,
University of British Columbia,1770-07-07,Bachelor of Education,,,,,
Langara College,2019-05-06,Bachelor of Science in Nursing,2.5,18145, Attending ,,
Vancouver Community College,1770-07-07,University Transfer,,,,,
Kwantlen Polytechnic University,1770-07-07,Arts,,, Completed  ,,
Nicola Valley Institute of Technology,1770-07-07,Associate of Arts,2,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
BCIT,2020-01-06,Graphic Design Certificate,1,6146.29,,,
Langara College,2018-09-04,Arts and Science Diploma,2,9335, Hiatus ,,
Camosun College,2020-01-01,Visual Arts,2,8200,,,
Camosun College,2019-09-30,,,,,,
University of British Columbia Okanagan,2013-09-03,Bachelor of Science in Nursing,4,18000, Attending ," Completed prev program, continung in Nursing: Credential: Bachelor of Human Kinetics ",
Camosun College,1770-07-07,Arts and Science Studies,,, Hiatus ,,
Camosun College,2021-03-01,Electrical Apprenticeship Level 1,1,4800,,,
Douglas College,2022-09-06,Bachelor of Arts in Child and Youth Care,4,22083,,,
University of the Fraser Valley,2017-09-01,Qualifying Studies,1,8005, Hiatus ,,
Douglas College,1770-07-07,SFU Arts degree partnership,,, Hiatus ,,
Simon Fraser University,2018-09-04,SFU Arts degree partnership,4,26160, Attending ,,
Selkirk College,1770-07-07,Social Worker Diploma,,, Completed  ,,
Camosun College,2018-09-10,,,,,,
Camosun College,2020-09-01,Practical Nursing,2,16000,,,
Kwantlen Polytechnic University,1770-07-07,Fashion,,, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Arts,,, Attending ,,
Thompson Rivers University,1770-07-07,Police and Justice Studies,,, Completed  ,,
Langara College,2018-09-05,Criminology Diploma ,2,9211, Attending ,,
University of the Fraser Valley,2021-09-12,Bachelor of Arts,4,27264, Hiatus ,,
Nicola Valley Institute of Technology,1770-07-07,Chemical Addiction Worker Certificate,,, Completed  ,,
Vancouver Island University,1770-07-07,,,,,,
Justice Insitute of British Columbia,2018-09-05,Law Enforcement Studies Diploma/Bachelor of Enforcement Studies/Adult Probation Officer course,4,13300, Attending , Completed Diploma. Pursuing Bachelor Degree. 21SS and 21FA Tuitition/Attending Adult Probation course $311 ,
Camosun College,2019-09-03,,,,,,
Camosun College,2019-09-03,,,,,,
Kwantlen Polytechnic University,1770-07-07,Arts,,, Hiatus ,,
BCIT,1770-07-07,Fine Arts,,, Never Attended ,,
Kwantlen Polytechnic University,2017-09-01,Fine Arts/Nursing,4,23500, Completed  ,,
Nicola Valley Institute of Technology,2018-09-04,Bachelor of Social Work,2,7800, Attending ,,
Capilano University,1770-07-07,Accounting Assistant,,, Completed  ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
BCIT,2017-11-27,Piping Foundation,,, Completed  ,,
Selkirk College,1770-07-07,Human Services Diploma,,, Completed  ,,
University of British Columbia,1770-07-07,Bachelor of Arts,,,,,
University of British Columbia-Okanagan,1770-07-07,Bachelor of Management,,,,,
Camosun College,2020-04-01,Professional Cook Level 1,1,3278,,,
Nicola Valley Institute of Technology,2021-09-08,Environmental Resource Technology Diploma,2,5300, Attending ,,
Camosun College,2020-09-01,Bachelor of Business Administration ,4,26000,,,
University of Victoria,1770-07-07,Bachelor of Arts,4,26668, Attending ,,
Langara College,1770-07-07,Associate of Science,,, Hiatus ,,
University of British Columbia Okanagan,2018-09-01,Unclassified Studies,,, Completed  , Credential awarded: Bachelor of Arts: English. Subsequently enrolled in Unclassified studies - no longer attending ,
University of British Columbia,2016-09-08,Bachelor of Science,4,17000, Completed  ,,
University of the Fraser Valley,1770-07-07,Applied Business Technology,,, Completed  , Is attending fall 2020 in upgrading courses ,
Thompson Rivers University,2017-09-01,Bachelor of Computer Science,4,24100, Attending ,,
Camosun College,2015-09-08,Associate Degree Arts,2,, Hiatus , Last attended 04/20 ,
University of British Columbia Okanagan,1770-07-07,Bachelor of Science,,, Completed  ,,
University of British Columbia,2016-09-08,Bachelor of Science,4,17000, Completed  ,,
University of British Columbia,2018-09-05,Bachelor of Arts,4,32000, Hiatus ,,
Vancouver Island University,2017-09-05,Bachelor of Social Work,4,38000, Hiatus ,,
Vancouver Island University,2017-01-04,Bachelor of Arts,4,25000, Attending ,,
Vancouver Island University,1770-07-07,Bachelor of Arts,,,,,
Langara College,1770-07-07,Diploma Arts and Science General,,, Hiatus ,,
Vancouver Island University,2015-09-08,Bachelor of Arts in Philosophy,4,25000, Hiatus ,,
Camosun College,2018-09-04,Civil Engineering Technology,2,, Hiatus , withdrawal from program ,
Camosun College,2022-01-10,Associate of Arts,2,14300,,,
University of Victoria,1770-07-07,Bachelor of Engineering,,, Attending ,,
Vancouver Island University,1770-07-07,Bachelor of Arts in Child and Youth Care,,,,,
Camosun College,2020-05-04,Education Assistant and Community Support,1,4500,,,
Camosun College,2020-01-10,University Transfer,,,,,
Camosun College,2018-09-04,Indigenous Studies,2,, Hiatus ,,
Vancouver Island University,2017-09-05,Bachelor of Social Work,4,38000, Attending ,,
Okanagan College,1770-07-07,Animation,,,,,
Douglas College,2016-09-08,Bachelor of Arts in Child and Youth Care,4,36000, Hiatus ,,
College of New Caledonia,1770-07-07,Social Service Worker,,, Completed  ,,
University of Northen BC,2021-09-01,Bachelor of Social Work,2,13014, Attending ,,
Camosun College,2016-09-06,University Transfer,2,, Hiatus , Last attended 01/19 ,
Vancouver Island University,2014-09-02,Bachelor of Education,5,25000, Completed  ,,
Camosun College,2018-09-10,University Transfer,,,,,
Nicola Valley Institute of Technology,1770-07-07,Health Care Assistant,,, Completed  ,,
College of New Caledonia,1770-07-07,Dental Assisting,,, Completed  ,,
Camosun College,2020-09-01,University Transfer,2,12000,,,
Vancouver Island University,2015-09-08,Bachelor of Arts,4,25000, Hiatus , Last attended Winter 2018 ,
College of New Caledonia,1770-07-07,University Studies,,, Hiatus ,,
University of British Columbia,2016-09-06,Bachelor of Music,4,32000, Completed  , Credential received: Bachelor of Music: Orchestral Instrument ,
Camosun College,2021-09-07,Associate Degree in Science,2,12000,,,
Vancouver Island University,2020-09-21,Community Mental Health Worker/Bachelor of Arts,4,25000, Completed  , Community Mental Health Worker Completed/WDR F'21 ,
Simon Fraser University,1770-07-07,Bachelor of Arts,,,,,
Vancouver Island University,1770-07-07,Bachelor of Arts,,, Completed  ,,
Vancouver Island University,2016-01-04,Bachelor of Arts,4,25000, Hiatus , Withdrew F17 ,
Vancouver Island University,1770-07-07,Bachelor of Interior Design,,, Completed  ,,
Vancouver Island University,2015-09-08,Community Mental Health Worker/Bachelor of Social Work,1,38000, Completed  , May return in future to continue onto Bachelor of Social Work ,
Kwantlen Polytechnic University,2017-09-01,Bachelor of Arts,4,23500, Completed  ,,
Camosun College,1770-07-07,,,,,,
Vancouver Island University,2015-09-08,Bachelor of Arts in Sociology,4,25000, Completed  ,,
Camosun College,2021-09-01,Associate of Arts,2,12000,,,
Vancouver Island University,2016-09-06,Bachelor of Science in Nursing,4,25000, Completed  ,,
BCIT,2016-09-06,General Studies   ,1,6140, Hiatus ,,
Okanagan College,1770-07-07,Culinary Arts Certificate,,, Completed  ,,
Vancouver Island University,1770-07-07,Bachelor of Science,,,,,
Vancouver Island University,1770-07-07,Bachelor of Social Work,,, Completed  ,,
Simon Fraser University,1770-07-07,Bachelor of Science,4,, Hiatus , Now PR ,
Vancouver Island University,2020-08-24,Professional Baking,1,6000, Hiatus , Withdrew Spring 2021 ,
Vancouver Island University,2016-09-06,Exploratory Studies,4,25000, Attending , Est. cost assumes move to degree program ,
Camosun College,2021-01-04,Sheet Metal Foundations,1,3775,,,
Vancouver Island University,2016-09-06,Exploratory Studies,4,25000, Attending ,,
Camosun College,2016-09-06,Arts and Science Studies,2,, Hiatus , Last attended 12/19 ,
Langara College,1770-07-07,Criminal Justice Diploma,,, Completed  ,,
Vancouver Island University,2017-09-05,Exploratory Studies,4,25000, Attending , Practical Nursing diploma completed. Planning to continue onto Bachelor of Science in Nursing ,
Vancouver Island University,2017-09-05,Unclassified,4,25000, Hiatus ,,
Camosun College,2020-09-01,Electrical Engineering Technology,2,16500,,,
Vancouver Island University,2016-09-06,Bachelor of Education,5,25000, Completed  ,,
University of British Columbia Okanagan,1770-07-07,Bachelor of Science in Nursing,,, Completed  ,,
