2017-10-01,2018-01-15,2018-08-15,2018-12-31,2019-03-29,2019-07-15,2019-11-29,2020-02-01,2020-06-12,2020-10-30,2021-02-15,2021-06-22,2021-10-19,2022-02-18
2483.99,2708.78,3317.73,1719.39,2476.29,3662.77,2315.61,1955.62,2982,688.94,1200.45,1730.06,1709.4,
1640.26,742.81,,,,,,,,,,,,
2623.61,2830.17,529.35,3202.84,3414.16,529.35,3213.4,2994.55,,2569.55,2240.8,2240.8,,
1453.53,2362.53,683.83,3778.19,2281.4,,3069.31,2399.09,550.68,2321.3,2052.86,,,
,245.97,,278.68,,642.52,7825.16,,,,,,,
,2109.39,1088.94,2417.71,2169.71,,2437.54,2189.93,1073.46,1956.5,1717.25,621.21,2520.1,1748.27
784.32,849.72,,1236,751,,820.81,931,,,,,,
2623.61,2311.2,,,,,,,,,,,,
2066.82,1140.7,2953.49,2810.75,1161.82,3718.5,2323.64,,275.34,234.34,,,,
,17658.87,,2144.14,3414.16,,1452.09,2863.55,0,,1143.75,,,
6255.23,6215.23,,6339.32,2482.36,,5191,,,3991.53,6618,1411.89,,55.18
1761.13,1018.81,1998.88,1038.92,1519.52,1019,200,,,1582.94,1082.94,,593.61,200
861.75,200,,,,,,,,,,,,
1357.15,0,,,,,,,,,,,,
,,,,,,,,2031,582.93,582.93,,,55.18
,,,3412,2516.63,,4116.68,-3487,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,360,1628.05,,2788.2,2117.51
,4972.8,,3039.05,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,714.92,,1571,327,,,,459,1544.21,2220.81,,1907.71,
2432.3,2432.3,1518.28,2480.73,2000.12,2200,6268,5211,2000,4500.75,3197.88,1121.76,2741.54,5420.38
9711.81,9377.27,,6647.3,6306.05,,,,,,,,,
574.8,1333.05,635.4,,,,,,,,,,,
,,,3403.06,,1041.21,1791.71,1837,454,1981,1812,-310.37,,2576.8
,,,,,,,,,,,,3146.32,
,2569.44,,1892,997,,,,,,,,,
,,,,,,,,,3082.97,3416.3,,,
,,,,,,,,,,,,,
,2692.92,900.4,,,,,,,,,,,
,,5961.78,,,,,,,,,,,
,,,,,,,,,,,,,
547.64,1018.81,,,,,,,,,,,,
,1022,,,,,,,,,,,,
3264.73,2585.86,611.35,3508.58,2810.75,,3562.01,2323.64,0,2502.59,1476.48,647.09,,
,,,,,,,,,,,,,
,,,,,,,,,8487.05,250,,200,
2360.61,2102.86,2548.19,,,,,,,,,,,
1761.13,2954.46,999.44,2480.73,2320.53,,,,,,,,,
200,,,,,,,,,41.72,,,,
1961.13,2137.93,,,,,,,,,,,,
1489.97,1961.13,1037.68,1519.52,1794.52,,,,200,3834.53,321.5,8439.95,,
2799.95,,,2162.58,,0,3046.28,2683.95,2641.43,1809.44,,,,
,,,,,,,,,,,,,
,,,,,,,,200,1123.58,1082.94,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1685,,1301,,1005.37,,,,,,,,
4088.29,,1970.73,,,,,,,,,,,
1062.09,1668.67,518.84,1083.06,1679.72,1042,,,,,,,,
4987.48,3759.73,,,,,,,,,,,,
2874.29,2671.92,2118.24,1413.67,1023.11,3351.18,3177.11,2952,691.79,,,,,
,1961.13,518.84,2110.49,2755.73,,2317,2042,200,5962.45,,,,
,,,,,,,,,1582.94,1582.94,,1613.62,1613.62
,,,,,,,,,,,,,
,,,,,,,,,,,,1888.62,1581.3
2007.68,2833.32,,1820,175,,850.06,,,,1128.21,,,
1221.76,1291.2,,1693.68,,,,,,,,,,
2981.9,3728.35,895.65,3104.7,,,,,2646,1565.59,,,593.61,593.61
1259.77,1930.93,,1969.44,1815.25,1004,2049,1030,,1082.94,1550.9,,,
,,,,,,,,,,,,,
,,,,,,,,,3082.97,3470.4,,,
3181.24,2176.86,,,,,,,,,,,,
,,,,,,,,541,4398.63,,551.47,2398.62,
1155.35,896.75,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1050.08,1483,,,,,,,,,,,,
1455.23,635.4,,1423.46,649.31,969.49,,,,,,,,
1514.77,1260.2,,,,,,,,,,,,
,,,,,,,,,,,,,
2001.06,1982.78,2262.68,1563.66,2371.26,,,,,,,,,
1380.92,1173.12,,1068,1097.5,736.7,765.46,1098,,,,,1044.38,1066.53
5065.13,200,,,,,,,,,,,,
7744.63,471.16,620.1,2892.25,3802.59,1117,3169,1053,,2572.04,4957.11,1612.44,,
,1498.8,1514.92,1774.12,1569.72,1215.84,2126.25,1204.39,1096.47,1316,1055,1416.01,1438.52,1602.76
,679.62,,,,,2301.36,1825,175,1503.25,,,,
1045.52,1522.92,175,865,,,,,,,,,,
,,,,1287,,3723.6,,,,,,,
,1483,,,,,,,,1509.8,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,2216.11,,2234.82
,,,,,,,,541,1282.94,,,,
1961.13,1459.77,200,6139.32,3071.84,,5191,5211,,5294.4,5315.13,,,
,,,,,,,,,,,,,
,4246.88,1013.39,1942.37,1686,,,,,,,,,
2934.27,200,,,,,,,,,,,,
,,,,,,,,1282,6410.47,6618,1411.89,6728.45,5420.38
889.8,350,,,,,,,,,,,,
1787.9,,,,,,,,,,,,,
2403.35,2487.03,441.51,3016.71,2148.83,,3400.43,3196.76,,,,,,
,,,,,,,,,,,,,
2102.86,1843,650.27,,,,488.63,,,,,,,
,397.92,,,,,,,,,1753.01,,,
,,,,,,,,,,,,,
,,,,,,,,,,41.72,,,
,2524.96,708.24,,,,,,,,,,,
,889.8,,2055.81,1739.44,1069.49,2590.82,1641.37,,,,,,
,5534,,,,,,,,,,,,
,1536.87,,2381.2,2278.04,,,,,2374.97,,,,
,,,,,,,,,,,,,
,1787.52,,,,,,,,,,,,
,3174.53,3591.48,2836.29,3593.19,,,,,,,,,
,6077.97,7552.97,,,,,2140,482,,,,,
,,,,,,,,1581,54.1,,,,
,1291.32,175,1855.85,,,,,,,,,,
,,,,,,,,,,,,272.81,
2410.46,4700.59,1493.6,2997.39,2281.4,,,,,,1811.79,,1268.32,
,,,,,,,,,,,,,
632.98,85.32,,216.94,1804.4,1173.35,1843.25,1258,651,2845.26,2628.02,645.17,2127.17,2330.18
597.39,1605.5,,,,,,,,,,,,
,1527.9,1506.5,,,,,,,,,,,
3892.18,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,907.69,,,,,,,,
,,,1832.75,,700.54,2362.51,2993,,1877.46,1152.2,,,
,,,,,,,,,,,,,
,528.2,,,,,,,,,,,,
,1629.55,,1488.06,1233.49,1233.49,1610.43,1360.43,,,,,,
,,,,,,,,,3746.21,3607.13,4238.17,592.8,4536.07
,,,,,,,,,,,,,
825.7,1752.65,2071.17,,576.53,2104.07,1430.14,862.76,1071.75,,,,,
,,,,,,,,,3198.49,2326.49,2565.77,2106.65,2461.69
1668.67,1668.67,,,,,,,,,,,,
,,,,,,,,1041,2082.95,1582.94,,1613.62,2633.63
,839.6,,851.06,533.93,130.48,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1654.71,1171.55,2273.45,1434.98,,,1788.87,,1979.6,1727.69,,,1261.05
,,,,,,,,,,,,,
60,,,1088.64,1028.64,,,,,,,,,
2092.85,,,,,,,,,,,,,
,250,,,,,,,,,,,,
2485.95,,,2165.73,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2979.18,2754.24,804.96,907.97,2275,,3291.87,2410.24,,2598.16,2402.57
,,,,,,,,,,,,,
,,,1879.89,2165.73,0,2884.8,6627.83,,-2770.95,1233.08,,1971.58,2791.75
,1042.28,889.8,1488.06,1233.49,1615.84,1073.5,1254.73,,,,,,
,1010.24,,,,,,,,,,,,
,,,1832.75,1129.84,,1843.25,698,1582,2485.59,2325,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1396.08,,642.52,642.52,642.52,1351.88,1383,,933.4,1292.34,,724.85,
,1320.6,,,1458.64,,,,,,,,,
,839.6,,851.06,,,,,,,,,,
,942.85,,,1233.49,,,1254.73,,1695.74,1274.02,,1616.01,1300.61
,,,350,,,,,,,,,,
,1228.07,,,,,,,,,,,,
,1668.67,,1701.79,1560.18,729,1352,2042,541,2123.59,1582.94,,1613.62,1613.62
,,,,,,,,,,,,,
,272.12,,,,,2287.46,952.01,,,,,,
,,,,,,,,200,3157.97,2582.96,,2398.62,2633.63
,,,1571.6,1620.75,1620.76,1620.75,1653.15,1322.52,,339.6,,,
,,,,,,,,,,,,,
,1589,1272.45,1238.06,1295.29,1418.89,1567.73,1254.73,780,,440.43,,,
,1937.86,,2529.12,1233.49,82,,,,,,,,
,,,,,,,,,,,,,
,1212,1272.45,,,1233.49,1567.73,1064.63,1239,837.64,901.84,823.54,1020.56,1085.96
,,,1879.89,1679.04,,,,,,,,,
,,,2836.29,2476.29,2523.51,1378.31,1303.13,3563,979.44,619.44,631.05,,
,,,,,,,,,,,,,
,1110.76,,642.52,686.03,642.52,653.52,676,,,,,,
,1011,1211.85,,1233.49,907.69,595.93,922.45,-82,,,,,
,777.4,,,,,,,,,,,,
,1967.04,41,,,,,,,,,,,
,,,2429.98,,,,,,,,,,
,6639.36,,,,,,,,,,,,
,,,,,,,,,,,,,
,1151,,,,,,,,,,,,
,1864.64,,,,,,,,,,,,
,3894.42,,,,,,,,,,,,
,,1916.13,2650.14,2848.59,2523.51,1853.87,2715.12,,3513.56,1907.79,-774.68,,
,1151,594.78,,,,,,,,,,,
,1739.35,1178.09,1670.51,1261.89,,1882.02,1308.24,,1309,,,,
,1211.85,574.8,510.08,587.51,621.19,,595.93,,,,,,
,,,,,,,,,200,,,,
,,,,,,,807.33,,,,,,
,,,,,,,,,,,,,
,1527.9,,1808.61,1709.52,,922.45,807.33,,,,,,
,,,,,,,,,,1908.43,,3904.85,3260.89
,,,,,,,,459.28,,,,,
,60,60,,,,,,,,,,,
,1211.85,,1596.66,1233.49,,1504.73,1360.43,,,,,,43.35
,,,,,,,,,,,,,
,,,,,,,,,2570.85,1738.85,,2106.65,
,,,,,,,,,,,,,
1849.71,1654.71,967.55,1961.73,1961.73,987,1992,1167.98,,,,,,
,1756.36,,892.64,892.64,892.64,,,,,1646.94,-752.19,,
,1632.83,,,,,,,,,,,,
,410.8,,,,,,,,,,,,
,1887.53,1916.13,2277.84,2476.29,,1115.51,755.51,770,2179.88,1931.87,,,
,1151,,,,,,,,,,,,
,,,,,,,,,,,1234,,
,,,,,,,,,,,,,
,4592.81,,2644.95,,1942.04,,1979,2079,3643.5,4019.97,,,
,,,2525.92,2335.92,,2969,2067,,2056.86,1140.24,,,
,1312,,,,,,,,,,,,
,1022.41,,1579.33,1174.57,,1320.65,870,,1751,,,,
,,944.76,944.76,942.96,457.78,730.26,721.41,,,,,,
,1887.53,2474.58,1279.51,2476.29,,2600.43,,2401,1660.76,,,,
,1114.24,,,,,,,,,,,,
,3226.94,1403.52,1342.7,1257,375.5,1371.86,,1495,2034.71,2187.06,415.38,118.35,1773.91
,5416.01,,,,,,,,,,,,
,1151,815.78,,,,,,,,1222.19,1057.92,,2423.3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,5982,650,3047,3088,1243.67,3904,,3781,1509.8,,,,
,1511.42,,1717,175,,,,,,,,1671.28,1608.14
,1833.24,,,,,,,,,,,,
,,1598.22,2366.58,1679.04,0,2396,1831.48,,2677.75,1465.58,,730.5,743.05
,,1004.44,,,,,,,,,,,
,2036.36,999.44,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,828,,,,,1887.93,732,,,,,,
,1601,109.36,403.49,,,,,,,,,,
,2660.27,,1304,4039.95,,1341.73,,,,,,,
,,436.16,3378.24,2260.96,2216.66,1745.89,1104.56,,,,,,
,1380.92,971.64,959.05,730,1176.7,876.16,1325,901,1066.56,1241.81,1050.81,1028.43,1238.48
,5593.86,,2577.77,2376.46,,2528.17,2405.38,550.68,2884,2603.54,1210.08,4121.32,2981.85
1573.5,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2795.04,,2352.94,2165.1,,2457,1637,,3080.21,2835.85,1575.77,3382.87,942.49
,1641.92,,1807,2054,926.18,2070.31,2399,282,2579.64,,,,
,,,,,,,,,,3221.9,3632.57,2977.79,3803.03
2505.17,2763.9,2058.06,,,,,,,,,,,
,1609.34,,1376.77,1771.5,1129.84,1843.25,1670,588,1831.2,1340.96,599.9,1908.6,1195.84
,,,,,,,1254.73,,1426.52,,,,
,1832.85,,1964.09,1864.99,1233.49,1831.67,1254.73,,,,,,
,3475.04,,,,,,,,,,,,
,1967.04,41,2615.98,,,,,,,,,,1971.58
1810.65,,,,,,,,,,,,,
,2842.98,,,,,,,,,,,,
,,,,,,,,1239,,,,,3004.13
,3001.94,-331.58,1865.6,1107,1128.4,1308.21,1044,,3317.29,1359.81,553.08,2061.68,1475.13
,1306.05,,,,,,,,,,,,
,,441.51,,,,450.3,,918.56,,468.41,,,
,2878.3,1845.03,1837.15,1691.63,,,,,,,,,
,,,,,,,,,,,,,
,70.49,,,,,,,,,,941.54,1298.04,1210.32
,1528,1527.9,,1233.49,1554.04,1081,1088.59,391,161.7,,,,
,2558..83,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1843.44,,1355,1261,,1418.14,1693,282.34,2795.64,2223.06,987.96,1981.08,3450.41
,,,,,,,,,,,,,
,2182,,,,,,,,,,,,
,,277.2,1358.52,1148,730.4,579.66,1464,,1267.01,891.51,824.28,666.03,
,8192.88,,,,,,,,,,,,
,738.12,,,1519,375.5,1203.52,2239,,634.56,1595.51,,2007.79,2352.08
,,4421.56,,,,,,,,,,,
,3987.48,,,,,,,,,,,,
,,429.69,,,,,,,,,,,
,1843.54,,,,,,720,1085,1106.93,,1129.57,1195.84,1195.84
,2801.3,704.21,1748.98,1112,,,534,,,,,,
,,,,,,,,,5209.16,4849.16,411.46,1577.79,
,3080,,4950,,,1686.8,,,,,,,
,2929.95,1269.55,2748.28,2416.58,4540.84,,965.15,803.5,972.08,,,,
,,,,,,1471,1532,541,2336.19,2462.22,,1150.45,2193.89
,,,,,,,,,,605,,347,347
,,3151.4,,,,,,,,,,,
,,4545.66,,,,,,,,,,,
,,,1617.16,,,,,,,,,,
,,,3148.92,,,,,,,,,,
,,891,,,,,,1130,,,,,
,,,,,,,,200,1700.94,1582.94,,2398.62,1613.62
,,1117,652,662,2411.15,2628,2718,,2683.46,,5326.97,2695.69,2695.69
,335.16,,,,,,,,,,,,
,,,1434.57,1452.69,,1320.65,483,,,1472,,2571,2533
,,1195.85,,,,,,,,1760.35,1073.57,,
,1588.54,,,,,,,,,,,,
,,1211.85,1488.06,1233.49,1233.49,1610.43,1471.19,,,,,,
,,,,,,,,,,,,,
1471.85,574.8,,,,,,,,,,,,
,,1366.55,1679.04,1679.04,1392,1219,1237.67,,-51,,,,
,,2161.28,720.2,2360.73,,2724.16,2364.16,,5209.16,4849.16,1219.39,2273.17,4336.96
,,,1832.75,1660.67,1158.85,1194.97,1217,610,1978.56,1275.94,1141.93,,
,,1168.19,851.06,,,,,,,,815.98,,387.84
2089.91,,,2635.33,2438.04,1732.06,3551.52,2443,,1983.21,146.91,,,
,,1211.85,,,,,,,1695.74,,,,
,,2941.99,2046.85,1507.57,,,,,,,,1475.72,1901.4
3467.97,2385.84,2331.86,3724.98,2000.23,1837.22,1124.16,1609,,,,,,
,,,,,,200,,2080,149.48,,,,
,,,,,,,,,,,,,
,,,,2017.76,,2187,2140,,,,,,
,,1294.89,2565.2,-504.71,,,,,,,,,
,,,,2355.46,,,2941.58,,3262.52,2933.77,2933.77,2815,
,,,151.94,,,,,,,,,,3332
,,,,,,,,,,,,13372,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,582.93,582.93,,2442.47,-275
1319.32,1381.36,,,,,,,,,,,,
,,,2541.15,1826.11,,,2027.38,0,2711.84,1832.41,1832.41,2253.31,
,,,964.8,,,,,,,,,,
,,493.81,1876.26,2147.99,,2572.58,2211,,2316.58,2310,,2518.12,1713.01
,,,2280.73,2022.19,,1062,1552,541,3623.62,3082.97,1061.47,2633.63,3143.64
,,,1160.72,,,,,,,,,,
,,,,,,,,,,2607.5,,,
,,2062.86,2352.94,2108.58,2376.84,2439.34,895,684.69,867.49,,,,
,,,,,,,,53,2082.95,2582.96,1612.94,1613.62,2123.62
,,,2024.2,2384.45,,2144.73,1648,2245,2979.34,2120.99,,,
,,,,,,,,,,,,,
,,,1129.84,1129.84,,,,,,,,,
,,,387,791,162.2,1248.69,1222,632,2264.21,1250.16,,,
,,,1532,,,1532,,,,,,,
,,,3047,,,,,,,,,,
,,,1129.84,1173.35,,,,,,,,,
,,,1252.64,1252.64,359.16,1894.61,1595.45,1001.37,-41,,,,
,,,,,,,,,1711.34,200,,,
,,,,5849.36,,3100.76,2825.58,1101.36,3698,3062.44,,2561.24,1540.84
,,,2729.46,2861.62,,2399.34,2347,,2374.97,2326.49,,,
,,,,,,,,,,,,2627.39,1858.47
,,,2873.25,2895,,831.55,,,,,,,
,,,,,,,,,,,,,
,,,175,,,,,,,,,,
,,880.66,885.51,1197.79,877.81,,,,1043,1039.65,738.53,1164.23,1270.52
,,,769.05,,,,,,,,,,
,,,1826.01,487.26,955.05,1049,887,250,3927,,,640.52,640.52
,,,2890.63,2663.61,,1877.18,1629.18,-1629.18,,,,,
,,,,,,3611.73,1243.82,0,2207.32,,,,
,,,3752.42,3075.43,898.07,,1783.7,0,,,,,
,,,,2476.29,,3177.56,2532.75,-360,2768.39,2048.39,1223.67,3577.91,2625.29
,,,2994.23,2281.4,938.75,3063.07,1478.66,1340.68,2877.71,2603.54,648.39,3233.83,1858.47
,,,,3083.7,,3371.12,2952,10597,,,,,
,,,,,,16787.51,1648,1913,2316.58,,,,
,,,592.08,969.49,,922.45,,,,,548.23,,
,,,,,,,,,,,,5923.58,4343.2
,,,,,,,,,2082.95,2082.95,551.47,2633.63,2123.62
,,,,831.48,1088.64,1414.16,1109.16,,,386,60,878.64,292.88
,,,1865.99,441.54,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,1038.92,1038.92,768,1827,2042,1041,2357.95,2137.05,1061.47,593.61,593.61
,,,2092.24,,,,,,,,,,
,,,1468.98,1140.45,,,,,,,,,
,,,2380.62,2000.47,,2323.01,1653.81,152.01,2347.83,2341.32,,,
,,,,1995.71,,,,,,,,,
,,,3047,,7149.31,3120,3163,,,,,,
,,,3041.25,3802.59,1117,3169,4160,,1611.62,,,,
,,,,2355.46,529.35,,,1046.85,2161.16,2383.09,2383.09,3189.08,
,,,2694.12,2549.5,1393,3233.8,4376,,3340,3322.22,75,2212.31,-2212.31
,,,3384,,3424.53,3038,751,1975,2691,3578.87,1202.88,3609.94,3654.14
,,,3048,,,3264,3706,,3535.52,3578.87,,,
,,,,,,,,,,,,,
