2017-10-01,2018-01-15,2018-08-15,2018-12-31,2019-03-29,2019-07-15,2019-11-29,2020-02-01,2020-06-12,2020-10-30,2021-02-15,2021-06-22,2021-10-19,2022-02-18
,,,,,,,,,,,,2681.48,2025.17
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,3195.22,3988.46,,,,,,,,,,,
,2326.89,,,,,,,,,,,,
950.4,1501.95,1011,1932.21,2605.24,,1466.22,1224.55,725,1670.42,2061.94,1741.51,615.61,
,,441.51,,,,,,,,,,,
2320.61,,2523.2,2581.2,2525.1,,2399.34,2347,,,,,,
,,,,,,,,,,,,,
,,,,,,,,758,,1112.32,,,
,,,,,,,,,,,,,
,2957.55,,2320.07,1553.35,1129.84,1150.59,,,,,,1338.3,744.19
1787.9,1832.85,1372.88,1488.06,1771.32,,2083.67,1443.73,454,2146.34,1273.38,,,
3504.15,4076,,,,,,3429,,,,,,
2193.87,2152,627,1742,,1591.26,,,,,,,,
2970.24,3011,,,,,,,,,,,,
942.12,1594.7,,1034,1236,,1305.46,1614,453,,,,,
,,,,3274.74,3662.75,2885.25,3664.49,,,,,,
1918.11,,,,,,,,,,,,,
,,,,,,,,,,,,,
1957.72,2047.4,1720.16,1614.91,441.16,1258.91,,,,,,,,
2062,1572,1850,1033,,,,,,,,,,
1548.6,,,,,,,,,,2009.93,,,
,,,,,,,,,,,,,
1398.72,573.56,,,549.62,0,1902.17,1701.32,1133.47,2924.79,1778.76,1023.08,1971.58,1770.73
,,,,,,,,,,,,,
,,,,,,,,,,2204,1878,,
,,1171.55,2366.58,2165.73,987,1902,713.3,,,,,,
,2098.89,1754.32,1105,-61,,,,,,,,,
572.52,,,,,,,,,1571.51,1593.81,1062.06,1538.63,1386.03
,,,1366.67,,,,,,,,,,
2245.37,2049.87,908.34,2367,,,,,,,,,,
1706.72,,1093,175,,,,,,,715.56,471.48,1610.03,607.53
1766.93,,,,,,,,,,,,,
1744.4,1917.3,1341.87,1845.12,1391.89,1637.82,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,1990.22,1581.67,,,1574.14,434.07,2021.32,1431.41
1954.45,1857.85,,1038.31,457.83,116.38,,,,,,,,
1368.75,1172.85,,,,,,,,,,,,
1529.61,,2127.4,2850.12,3005.39,1679,3711,2063.99,1991.33,-51,,,,
1357.15,1151,1147.71,851.06,728.06,309.43,,268.43,,,,,,
15442.74,,,,,,,,,,,,,
,3820.64,1137.52,,,,,,,,,,,
,505.28,1650.22,2366.58,2327.96,2648.28,2421.18,2195.33,1991.33,-51,,,,
1825.46,1588.54,,1832.75,1696.93,,2053.32,1813,,1978.56,1638.96,,,
1595.6,1320.6,,2194.85,1919.85,1061.1,1618.4,2007.64,,-68,,,,
,,,,,,,,,,,,,
1272.45,,,,,,,,,,,,,
,,,2895.78,2476.29,,2885.25,2525.25,,2760.89,2400.89,,,
1475.32,1390,,,,,,,,,,,,
,,,,,,,,,,,,,
1895.39,,2127.4,1879.89,2165.73,0,3746,1701.32,1991.33,1676.69,2030.6,2030.6,2272.02,
1232.48,1232.48,898.36,1252.64,1711.88,865.94,,,,,,,,
1292.52,,,,,,,,,,,,,
7533.73,,,,,,,,,,,,,
1804.13,1270.02,,1995.19,1335.79,1129.84,1843.25,1813,1085,1809.55,1300.94,,,
3058.85,2801.1,818.25,2917.72,3049.88,3724.16,2975.43,2731,,,2300.19,,,
2623.61,2830.17,,,,,,,,,,,,
490.37,,1650.22,1929.89,,,,1902.17,1497.32,-51,,,,
3652.53,1786.02,915.67,3710.76,2626.3,2485.1,2631.37,,952.36,1983.21,2130.61,,,
,,,,,,,,,,,,,
2326.89,,1581.31,903.47,1849.18,1926.34,0,,,,,,,
1804.13,,,,,,,,,,,,,
1932.82,,,,,,,,,,,,,
,845,,,,,,,,,,,,
,,,,,,,,,1718,,,,
,390.15,1693.74,,,,,,,,,,,
778.77,779,720.28,799,799,742.61,935.74,759.84,759.84,,,,,
1232.48,,,,,,1273.16,1070.87,739.08,991.62,,,,
,3494,60,,825,367.5,,,,,,,,
2438.12,630.12,422.46,1747,1477.15,859.45,920.51,1478,,1155.06,-644.7,,,
2782.15,2667.55,597.09,,,,1976.51,,,,,,,
349.63,,,,,,,,,,,,,
,,,,,,,,,,,,,
3084.48,1720,,,,,,,,,,,,
,,,,,,,,,,,,1682,1747
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1849.71,3540.95,,1841.27,,,,,,3863.02,2527.9,,,
,,,,1179.99,,,,,,,,,
,2047.4,4294.68,1757.26,1299.91,,,,,,,,,
816.36,816.36,,,,,,,,,,,,
,,,1225.91,1655.03,1655,1602.77,2106.66,,3025.7,-248,,1826.78,2156.78
1787.9,1588,,1488.06,1233.49,,,1644.67,1239,1724.92,1112.32,,2021.32,1902.12
3687.21,3018.34,1191.95,3556.83,1752.05,,,,,,,,,
,,,,,,,595.93,,,,,,
4733.16,3672.54,,5026.49,3931,469.38,2190.27,2006.12,625.56,3295.84,2556.27,,,
,,,,,,,,,,,,,
1507.48,1232.48,898.36,1527.64,,,,,,,,,,
2874.29,,,,,,,,,,,,,
1255.36,1262.48,,,,,,,,,,,,
,,,,,,,,,3535.52,3208.02,,,
1588.554,1110.76,,711.05,,,,,,,,,,
1719.42,909,,4527.44,3365.95,,,,,,,,,
544.24,708.24,,1614.91,1299.91,,1515.23,,,,,,,
,,,,,,,,,,,,,
1849.71,,1650.22,2999.13,1262.03,4541,1688,1858,,-51,,,,
2339.8,1426.25,,,587.51,1112.51,,,,,,,,
,,,1865.12,,,,,,,,,,
1990.59,2197.15,,,,,,,,,,,,
653.78,,,,,,,,,,,,,
4897.32,,,1147,751,,850.06,,459,,,,,
1846.79,2087.65,,1869.01,1129.84,,,,,,,,,
,,,,,,,,,,,,,
,3810.44,,,,,,,,,1828.91,,1285.98,1434.81
,3023.75,,3832.75,3563.87,1676,3391.45,1685.93,813.07,1819.54,1853.74,1195.87,,1385.5
3012.84,2311.2,,3150.94,1878.01,,529.35,,,2161.16,1832.41,2394.1,2815,
,2936.87,,2582.31,2971.83,,,1853.8,,,,,,
1357.15,867.82,577,1153.33,1179.99,,,,,,,,,
1618.7,1350.12,908,2293,2090,926.18,2124.36,,,,,,,
,,,,,,,,,,,,,
1255.36,1010.36,,,,,,,,1307.62,,,,
,966.19,,,,,,,,,,,,
1961.13,1498.97,1499.16,52,,,,,,,,,,
2623.61,1792.23,1058.7,4364.04,2987.31,,,,,,,,,
1957.72,2186.96,1253.48,1614.91,1577.07,,,,,,,,,
3452.72,2412.87,,2944.23,2281.4,,3063.07,2323.64,550.68,2877.71,2052.86,2052.86,2075.29,
2609.77,4641.66,,,,,,,,,,,,
,,,,,583.23,2348.47,2193.74,2374.98,2751,2364.46,2409.32,2278.81,25
2552.22,1130.11,,,,,,,,,,,,
,,,,,,235.28,,,,,,,
983.24,708.24,,,,,,,,,,,,
1804.13,1588.54,,,,,,,,,,,,
,,,,,,,,,,,,,
,1521.8,,,,909.31,892.86,877.81,1070.35,,,387.84,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2643.9,2850.46,,,,,,,,2161.16,3300.89,3300.89,3751.17,
,1380.92,,,,,,,,,,,,
,,,,,,,,,,,,,
1471.85,1042.28,,2119.56,1709.52,,1831.67,1740.22,,,,,,
1804.13,,,1832.75,,,,1800,,1809.55,1613.96,1106.93,,
,1038.15,300.83,,742.99,,,,,,,,,
1122,1662.9,1647.6,241.2,2296.84,,3207.46,2539,3104.69,3434.27,2994.13,2525.77,3731.06,3554.33
1343.47,2097.94,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
889.37,541.37,,,,,,,,,,,,
2483.99,1887.53,2474.58,2277.84,1638.62,1953.88,2885.25,2525.25,1530,1889.38,1819.88,,,
3765.24,2978.61,,,,,,,,,,,,
,1165.55,533.98,1729.72,1168.19,,862.76,,1039.65,711,710.7,722.88,805.64,747.88
,,,,,,,,,,,,,
1759.6,1232.48,626.24,1527.64,1252.64,913.48,,,,,,,,
,,,,,,,,,,,,,
,,,2549.5,2761.75,520.09,2227.86,2600,,1979,2242.9,5251.1,2559.66,310.76
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1849.71,,234.69,,,,,,,,,,,
,,,,,,,,,,,,,
3763.95,,2912.46,793.76,2849.13,1496,0,,,,,,,
,1320.6,1320.6,1919.85,1805.04,1318.26,1460.52,1842.64,1187.67,-739,407,,1000.5,
2601.3,2367.26,,,,,,,,,,,,
632.98,,,,,,,,,,,,,
4140.52,,,,,,,,,,,,,
1343.47,2408.66,,,,,,,,,,,,
2412.78,1720.91,,1855.63,1222.7,,3167.61,,,,,,,
2674.03,2361.62,,,,,,,,,,,,
,,,,,,,,,,,,,
2272.92,,,,,,,,,,,,2029.2,2848.8
,,,,,,,,,,,,,
